Name;Firma2;Straße;PLZ;Ort;Land;Telefon;Fax;Produkte;Kategorie;Kategorie;Kategorie;;Hallenname
Ville de Riom;;23, rue de I`Hotel-de-Ville;63201;Riom Cedex;FRANKREICH;0033 04.73.33.71.46;0033 04.73.33.79.01;Champagner ;Nahrungs- und Genussmittel;Informationsstände, Dienstleistungen, Sonderschau;;;Halle D
Vogt Albert GmbH - Bauunternehmung;Schlüsselfertiges Bauen;Ringstraße 44;89435;Mörslingen;;09074/9550813;09074/955066;Schlüsselfertiges Bauen ;Bauen, Ausbau, Fertighäuser, Immobilien;;;;Halle B
Volksbanken Raiffeisenbanken im;Landkreis Donau-Ries;Bei den Kornschrannen 4;86720;Nördlingen;;09081 8019-6690;09081 8019-9900;Informationsstand, Fotobox ;Finanzen, Versicherungen;;;;Halle F
Volleyballabteilung;TSV 1861 Nördlingen e.V.;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
von Gaisbergsche Schloßkellerei GmbH;;Benzstr. 12;71384;Weinstadt-Großheppach;;07151/963339;07151/963350;Weine, Sekte, Spirituosen ;Nahrungs- und Genussmittel;;;;Halle E
Vorwerk Deutschland;Stiftung & Co. KG, Kobold;Würzburger Str. 22;86720;Nördlingen;;09081 88613;09081 88643;Vorwerk Staubsauger und Zubehör, Raumpflegeprodukte;Reinigungsgeräte und -mittel;;;;Halle E
WALTER Konzept;Inh. Mario Walter;St.-Martinus-Straße 3;73479;Ellwangen;;07965/9009-0;07965/9009-10;Photovoltaik, Solarstromspeicher ;Energietechnik, Energieversorgung;;;;Halle B
Wassertechnologie Feistle;;Waldstr. 25;89438;Holzheim;;09075 9588475;09075 9556311;balaAqua evolution classic Tritan Trinkflaschen;Wasserenthärtung und -aufbereitung;;;;Halle F
Wasserwacht Bäumenheim;;Bahnhofstr. 14;86663;Asbach-Bäumenheim;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Webertherm;Michaela Weber;Am Gründle  7;86655;Harburg;;09080 9237130;09080 9237131;Infrarotheizungen ;Bauen, Ausbau, Fertighäuser, Immobilien;Heizung, Heizungstechnik, Sanitär;Altbau, Modernisierung;;Halle F
Werksvertretungen;Pfister Friedrich;Dorfstr. 30;86733;Alerheim-Bühl;;09085/401;09085/920158;PKW-Kastenanhänger, -Viehanhänger, kleiner Hoflader;Auto, Autozubehör, Autopflege, Autohaus;Maschinen und Werkzeuge;;;Freigelände
Wernitz Rainer;Autohaus;Gewerbering 1;86698;Oberndorf;;09090/1318;09090/1514;Fahrzeuge der Marke Jeep ;Auto, Autozubehör, Autopflege, Autohaus;;;;Freigelände
Whirlpool & Living GmbH;;Herbert-Ludwig-Str. 2;28832;Achim;;04202 51199-0;04202 51199-22;Softub Whirlpools ;Sauna, Wärmekabinen, Whirlpool;;;;Halle H
Wirtschaftsförderverband;DONAURIES e.V.;Pflegstr. 2;86609;Donauwörth;;0906 74640;0906 7443640;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
Wohlbefinden für Mensch und Tier;;Dannhausener Straße 26;91790;Bergen;;09148 2383067;;Informationsstand Tierernährung, Dienst- leistungen, Hundephysio,;Tierschauen, Tierbedarf;Informationsstände, Dienstleistungen, Sonderschau;;;Freigelände
Wolf Schreinerei;;Bei der Mauch 1;86747;Maihingen;;09087/91228;09087/91229;Bett, Bettsysteme, Matratzen, Möbel ;Betten, Bettwäsche, Felle;Möbel, Küchen;;;Halle S
WOLFF ProTect;Gutes fürs Dach;Schießmauer 31;89129;Langenau-Göttingen;;07345 967013;07345 967032;Gutes fürs Dach ;Dächer, Dachumdeckungen, Dacheindeckungen, Fassaden;Altbau, Modernisierung;;;Halle H
Xanderhof;;Dorfplatz 14;86753;Möttingen;;0160 96605657;;Käse, Wurstwaren, Fertiggerichte Bewirtung mit regionalen Spezialitäten;Nahrungs- und Genussmittel;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;;;Halle M
Zalera UG (haftungsbeschränkt);;Alemannenstraße 21;91710;Gunzenhausen;;09831/619195;;IQ-Vitality: Probiotic, Joghurt-Maker Energy, Minerals, Booster;Nahrungs- und Genussmittel;Fitness, Gesundheit;;;Halle G
Zentrum für Betreuung u. Pflege;am Hofgarten;Lange-Mauer-Str. 4;86732;Oettingen;;09082/703-100;09082/703-600;Informationsstand ;Gesundheit, Medizin, Pflege;;;;Halle K
Zimmerer-Innung Donau-Ries;;Kerschensteiner Str. 35;86720;Nördlingen;;09081 3175;;Informationsstand, Innungs- und Azubiwerbung;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle B
ZOTT SE & Co. KG;;Dr.-Steichele-Str. 4;86690;Mertingen;;09078/801-0;09078/801-76557;Joghurt-, Dessert-, Käsespezialitäten ;Nahrungs- und Genussmittel;;;;Halle E
Zur Wallfahrt;Familie Trollmann;Oettinger Strasse 107;86650;Wemding;;09092 362;;Verkauf von Kaffee und Kuchen ;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;;;;Halle S
Zwick Wintergarten GmbH;;Am Mittleren Moos 15;86167;Augsburg;;0821/272750;0821/2727550;Wintergarten ;Wintergärten, Überdachungen, Markisen;;;;Halle F
